,0
S_L_F_6_D_._4_tmax,1.664779018718258e-05
S_L_F_6_D_._4_tmin,1.664779018718258e-05
S_L_F_6_D_._5_tstd,0.0
S_L_F_6_D_._5_tmean,-0.0007478726464500671
S_L_F_6_D_._5_variation,-0.0
S_L_F_6_D_._5_iqr,0.0
S_L_F_6_D_._5_tmax,-0.0007478726464500671
S_L_F_6_D_._5_tmin,-0.0007478726464500671
Duration,2.3666875
PitchKey,195.9999999999999
PitchRange,0.6
PitchMean,186.0
IntsIntLabels,11.0
UniqueIntsInt,7.0
IntsIntConcentration,4.647846409802731
OptimizationRangeLow,0.5
OptimizationRangeHigh,2.5
OptimizationStep,0.1
OptimizationMidLow,145.9999999999999
OptimizationMidHigh,245.9999999999999
OptimizationMidStep,1.0
